"Bargain Station","http://www.bargainstation.com/DailyDeal",,"Electronics / Computers","N",,"Y","http://www.bargainstation.com/ContentPage/28-Become-an-Affiliate",
"Bargaincell","http://www.bargaincell.com/bargaincell_daily_deal.html",,"Electronics / Computers","N",,"Y","http://www.bargaincell.com/index.php?main_page=affiliate_program",
"Barnes & Noble","http://www.barnesandnoble.com/best-deals.asp",,"Household",,,"Y","http://www.barnesandnoble.com/affiliate/index.asp?",
"Bauble of the Day","http://www.baubleoftheday.com/",,"Clothing / Jewelry","N",,"N",,
"BeDeals Midnight","http://www.bedeals.com/index.php/midnight-deal/",,"?","Y","http://www.bedeals.com/index.php/rss/","N",,
"BeDeals Noon","http://www.bedeals.com/index.php/noon-bedeal/",,"?","Y","http://www.bedeals.com/index.php/rss/","N",,
"Best Deal Magazines","http://www.bestdealmagazines.com/deal.asp",,"?","N",,"Y","http://www.shareasale.com/shareasale.cfm?merchantID=9635",
"bfiz","http://www.bfiz.com",,"Clothing / Jewelry","N",,"N",,
"Big Bear Outlet","http://www.bigbearoutlet.com/servlet/StoreFront",,"Outdoors / Sports","N",,"N",,"Multiple deals - see site"
"Big Daily Sale","http://www.bigdailysale.com",,"Electronics / Computers","N",,"N",,
"Big Fat Dad","http://www.bigfatdad.com/",,"Electronics / Computers","Y","http://bigfatdad.com/images/xml/223/rss.xml","N",,
"BikeWagon","http://www.bikewagon.com/",,"Outdoors / Sports","N",,"N",,
"Birkenstock Express","http://www.birkenstockexpress.com/Outlet/birkenstock-deal-of-the-day.cfm",,"Clothing / Jewelry","N",,"N",,
"Bits Du Jour","http://www.bitsdujour.com/",,"Electronics / Computers","Y","http://bitsdujour.com/rss","Y","http://www.bitsdujour.com/partnerAffiliateInfo",
"Bling Daily","http://blingdaily.com/",,"Clothing / Jewelry","Y","http://www.blingdaily.com/rss.php","N",,
"Boarders Best Buy","http://www.boardersbestbuy.com/",,"Outdoors / Sports","Y","http://feeds.feedburner.com/BoardersBestBuy?format=xml","N",,
"Bolt Athletics","http://www.boltathletics.com/",,"Outdoors / Sports","N",,"Y","http://www.boltathletics.com/bolttv/feed/",
"BombDeez","http://www.bombdeez.com/",,"?","Y","http://www.bombdeez.com/rss.php","N",,
"BonkTown","http://www.bonktown.com",,"Outdoors / Sports","Y","http://rss.bonktown.com/docs/bonktown/rss.xml","Y","http://www.backcountrycorp.com/corporate/section/5/affiliate.html",
"Bowlingball.com","http://www.bowlingball.com/",,"Outdoors / Sports","N",,"N",,
"Bowtie Expressions","http://www.bowtie-expressions.com/assorted-bow-ties.html",,"Clothing / Jewelry","N",,"N",,
"Budo Bargain","http://www.budovideos.com/shop/customer/bargain.php",,"?","Y","http://www.budovideos.com/shop/customer/bargain.xml","Y","http://www.budovideos.com/shop/customer/partner_signup.php",
"Bump Bargains","http://www.bumpbargains.com/",,"Clothing / Jewelry","Y","http://feeds.feedburner.com/bumpbargains","N",,
"Buy.com","http://www.buy.com/retail/clearance/todays_deals.asp",,"?","N",,"Y","http://www.buy.com/corp/affiliate.asp?loc=13895",
"Buzzer Beater","http://www.thebuzzerbeater.com/",,"Outdoors / Sports","Y","http://www.thebuzzerbeater.com/rss/index.php","N",,
"Caddies Bag","https://www.caddiesbag.com/",,"Outdoors / Sports","Y","https://www.caddiesbag.com/index.php/rss","N",,
"CamoFire","https://www.camofire.com/",,"Outdoors / Sports","Y","https://www.camofire.com/index.php/rss","N",,
"CandiesDelight","http://www.candiesdelight.com/Deal_Of_The_Day_s/111.htm",,"Food / Cooking","N",,"Y","http://www.candiesdelight.com/affiliate_info.asp",
"Cell Freaks","http://www.cellfreeks.com/deal_of_the_day.asp",,"Electronics / Computers","N",,"N",,
"CellHut","http://www.cellhut.com/",,"Electronics / Computers","Y","http://www.cellhut.com/CellhutDealsRSS.xml","N",,
"Chainlove","http://www.chainlove.com/",,"Outdoors / Sports","Y","http://rss.chainlove.com/docs/chainlove/rss.xml","Y","http://www.backcountrycorp.com/corporate/section/5/affiliate.html",
"Choxster","http://www.choxster.com/",,"?","N",,"N",,
"ChronoShark","http://www.chronoshark.com/",,"Clothing / Jewelry","Y","http://feeds.feedburner.com/Chronoshark-DailyDeal?format=xml","Y",,
